category,category_label,agencyId,eligibilityId,program,agency,bureau,funding_amt,funding_amt_notes,period_of_availability,funding_type,newprogram_yes_no,eligibility,description,eligible_uses,application,next_milestone,link,coverage,tribal_eligibility
pollution,Remediation and reduction of legacy pollution,dod-ace,.other,Regulatory Program,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$160,000,000",,2022 - 2026,Direct Federal,No,Army Corps permitting activities.,"Provides funds to administer the laws and regulations pertaining to activities affecting U.S. waters, including wetlands, in accordance with the Rivers and Harbors Appropriation Act of 1899, the Clean Water Act of 1972, and the Marine Protection, Research and Sanctuaries Act of 1972. Additionally, it reviews and processes permit applications, ensures compliance on permitted sites, and protects important aquatic resources.",Labor and related expenses for Army Corps staff.,,To be determined,https://www.usace.army.mil/missions/civil-works/regulatory-program-and-permits/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,".stateGov, .tribal, .localGov",Water-Related Environmental Infrastructure Assistance,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$200,000,000",,Available until expended,Direct Federal,No,"In partnership with State, local, and Tribal governments, the Army Corps would use funding to construct Federally authorized environmental infrastructure projects.","The program funds engineering and construction of authorized environmental infrastructure projects which provides safe water supply, waste disposal, and pollution control to cities and towns to protect human health and safeguard the environment.",Authorized environmental infrastructure projects,,To be determined,https://www.nap.usace.army.mil/Missions/Civil-Works/Environmental-Infrastructure/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,.other,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$465,000,000",,Available until expended,Direct Federal,No,"The Army Corps will use this funding to plan, design, and construct small water resources projects.","Funds eligible small Army Corps projects, including $115 million for restoring fish and wildlife passage.","A variety of water resources projects which must meet program eligibility requirements, including a total Federal cost limit of ~$10 million.",,To be determined,https://www.nae.usace.army.mil/missions/public-services/continuing-authorities-program/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,".stateGov, .tribal, .localGov",Aquatic Ecosystem Restoration Projects,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$1,900,000,000",,Available until expended,Direct Federal,No,"In partnership with State, local, and Tribal governments the Army Corps would use funding to construct Federally authorized aquatic ecosystem restoration projects.","This program funds the construction of authorized water resources projects to increase aquatic ecosystem restoration, including $1 billion for multi-purpose projects or programs that include aquatic ecosystem restoration as a purpose.",Authorized Federal aquatic ecosystem restoration projects and programs.,,To be determined,https://www.nae.usace.army.mil/Missions/Public-Services/Ecosystem-Restoration-Authorities/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,.other,"Coastal Storm Risk Management, Hurricane, And Storm Damage Reduction Projects",Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$2,550,000,000",,Available until expended,Direct Federal,No,The Army Corps will use this funding to construct authorized Federal storm damage reduction projects.,"This program will fund the construction of projects that help to reduce the risk of damage in a coastal storm, targeting States that have been impacted by Federally declared disasters over the past six years, including $1 billion for multi-purpose projects or programs that include flood risk management benefits as a purpose ($200 million of which will be for shore protection projects).","Eligible Federal projects to reduce the risk of flood and storm damage along the Nation’s coasts, including on the Great Lakes.",,To be determined,https://www.sac.usace.army.mil/Missions/Civil-Works/Coastal-Storm-Risk-Management/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,.other,Inland Flood Risk Management Projects,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$2,500,000,000",,Available until expended,Direct Federal,No,The Army Corps will use this funding to construct authorized Federal flood damage reduction projects.,"This program funds the construction of projects that help to reduce the risk of damage in a flood, including $750 million for multi-purpose projects or programs that include flood risk management benefits as a purpose.",Eligible Federal projects to reduce the risk of damage from riverine flooding.,,To be determined,https://www.iwr.usace.army.mil/Missions/Flood-Risk-Management/Flood-Risk-Management-Program/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,.other,Flood Control and Coastal Emergencies,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$251,000,000",,Available until expended,Direct Federal,No,"The Army Corps will use this funding to prepare for, respond to, and help in the recovery following a flood, hurricane, or other natural disaster.","Funds Army Corps preparedness measures, certain Army Corps operations during a flood, hurricane, or other natural disaster, and the repair of certain projects following such a natural disaster.","Certain eligible work related to emergency preparedness, emergency operations, and recovery after a flood, hurricane, or other natural disaster.",,To be determined,https://www.usace.army.mil/Missions/Emergency-Operations/National-Response-Framework/Flood-Control/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,.other,Planning Assistance To States,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$30,000,000",,Available until expended,Direct Federal,No,Funds certain planning and technical assistance provided by the Army Corps.,"The Army Corps provides planning and technical assistance to States, Tribes, and local communities to address water resource issues and related work.",Labor and related work performed by the Army Corps.,,To be determined,https://www.nae.usace.army.mil/missions/public-services/planning-assistance-to-states/,BIL,
pollution,Remediation and reduction of legacy pollution,dod-ace,.other,Flood Plain Management Services,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$45,000,000",,Available until expended,Direct Federal,No,Funds certain technical assistance provided by the Army Corps,"The Army Corps provides site-specific flood and flood plain data and assistance to States, Tribes, and local communities.",Labor and related work performed by the Army Corps.,,To be determined,https://www.usace.army.mil/Missions/Civil-Works/Flood-Risk-Management/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,".stateGov, .tribal, .localGov",To Complete Or Initiate And Complete Studies That Were Authorized Prior To The Date Of This Act,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$45,000,000",,Available until expended,Direct Federal,No,"In partnership with State, local, and Tribal governments, the Army Corps would use funding to conduct feasibility studies of potential future water resources projects and design and engineering work for eligible water resources projects.","Funds studies to determine the engineering, economic feasibility of potential solutions to water and related land resources problems as well as preconstruction engineering and design",Authorized studies and pre-construction engineering and design work of authorized projects.,,To be determined,https://www.usace.army.mil/Media/News-Releases/News-Release-Article-View/Article/2903380/army-civil-works-studies-projects-and-programs-to-be-accomplished-with-bipartis/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,".stateGov, .tribal, .localGov",Section 118 Of Water Resources Development Act of 2020,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$30,000,000",,Available until expended,Direct Federal,Yes,"In partnership with State, local, and Tribal governments, the Army Corps would use funding to carry out feasibility studies",Pilot program to carry out feasibility studies for flood risk management and hurricane and storm damage risk reduction projects that incorporate natural features or nature-based features for rural communities and economically disadvantaged communities.,All eligible parties requiring work for the qualifying infrastructure.,,To be determined,https://www.usace.army.mil/Missions/Civil-Works/Project-Planning/Legislative-Links/wrda_2020/,BIL,
water,Critical clean water and wastewater infrastructure,dod-ace,.other,Corps of Engineers Operation and Maintenance,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$4,000,000,000",Including $626 million For Damage Repairs And $40 million For Snowpack Monitoring,Available until expended,Direct Federal,No,"The Army Corps would use this funding for operation and maintenance of its projects, including coastal and inland navigation projects.","Funds inspection, operation, maintenance, and related activities for water resources projects operated and maintained by the Army Corps. These projects include navigation channels, navigation locks and dams, structures to reduce the risk of flood and storm damage (e.g., levees), and multi-purpose projects, as authorized in River and Harbor, Flood Control, and Water Resources Development Acts and other laws","Operation and maintenance of authorized Army Corps projects, including navigation channels and navigation locks and dams.",,To be determined,https://www.usace.army.mil/missions/civil-works/budget/,BIL,
transportation,Clean Transportation,dod-ace,".stateGov, .localGov",Water Infrastructure Finance and Innovation Program Account,Department of Defense – Army Corps of Engineers,Corps of Engineers – Civil Works,"$75,000,000",Including $64 million for loans and $11 million for administration of the program.,Available until expended,Credit Assistance,Yes,"State, local government, public utility, or private primary owners of dams identified in the National Inventory of Dams, where the Federal Government is not a joint owner (pursuant to PL 116-260; Water Resources Reform and Development Act 2014, as amended; and 85 FR 39189).","Federal credit program to provide credit assistance to creditworthy borrowers for projects to maintain, upgrade, and repair dams identified in the National Inventory of Dams owned by non-Federal entities.",All qualifying non-Federal dam safety projects under the Army Corps Water Infrastructure Finance and Innovation Program Account program.,,To be determined,https://www.usace.army.mil/Missions/Civil-Works/Infrastructure/revolutionize/CWIFP/,BIL,
water,Critical clean water and wastewater infrastructure,doa,".stateGov, .tribal, .localGov",Watershed Rehabilitation Program,Department of Agriculture,Natural Resources Conservation Service,"$118,000,000",,Available until expended,Technical and Financial Assistance,No,"Local Sponsor or Legal Subdivision of State or Tribal Government. Eligible Sponsors include cities, counties, towns, conservation districts, or any Federally-recognized Tribe or Tribal Organization.","Provides planning, design and construction for Department of Agriculture assisted dams to extend their service life and meet current safety requirements.","Rehabilitate high hazard watershed dams previously installed under the following four authorities: PL 83-566, PL 78-534, RC&D, Pilot Program.",,To be determined,https://sam.gov/fal/188b6363b85849cf990767854ed9688d/view,BIL,
water,Critical clean water and wastewater infrastructure,doa,".tribal, .localGov",Emergency Watershed Protection Program,Department of Agriculture,Natural Resources Conservation Service,"$300,000,000",,Available until expended,Technical and Financial Assistance,No,"Local sponsors representing owners, managers, and users of public, private, or Tribal lands are eligible for Emergency Watershed Protection Assistance if their watershed area has been damaged by a natural disaster.",Provides for design and construction of measures to help repair damages from a recent disaster to safeguard life and property.,Reduce threats to life or property by repairing severe soil erosion and impairments or restoring the hydraulic capacity to the natural environment in an economically/environmentally defensible & technically sound manner.,,To be determined,https://sam.gov/fal/7ac83d39d5e6426090674291c607a592/view,BIL,
water,Critical clean water and wastewater infrastructure,doa,".stateGov, .tribal, .localGov",Watershed And Flood Prevention Operations,Department of Agriculture,Natural Resources Conservation Service,"$500,000,000",,Available until expended,Technical and Financial Assistance,No,"Local Sponsor Or Legal Subdivision Of State Or Tribal Government. Eligible Sponsors Include Cities, Counties, Towns, Conservation Districts, Or Any Federally-Recognized Native American Tribe Or Tribal Organization.","Provides planning, design and construction of measures that address resource concerns in a watershed.","Flood Prevention, Watershed Protection, Public Recreation, Public Fish and Wildlife, Agricultural Water Management, Municipal and Industrial Water Supply, or Water Quality Management.",,To be determined,https://sam.gov/fal/57fb5ed3d8d8408cb9630e6b2f799e2a/view,BIL,
pollution,Remediation and reduction of legacy pollution,doa,.other,Capital Improvement And Maintenance - Legacy Road And Trail Remediation Program,Department of Agriculture,Forest Service,"$250,000,000",,Each annual tranche has a four-year period of availability,Direct Federal Spending,No,Forest Service Funding,This program protects investments by decommissioning and repairing roads and trails to mitigate detrimental impacts to sensitive ecosystems and watersheds.,"Work that includes replacing or installing bridges and culverts (or low-water trail crossings), addressing public safety of roads and trails, restoring unneeded roads and trails to a more natural State, addressing storm-damaged areas, and removing or replacing pipes and other structures that restrict or prevent fish and other aquatic organisms from reaching their traditional habitat.",,FY23 projects announced and published on the program website here: https://www.usda.gov/media/press-releases/2023/05/01/biden-harris-administration-announces-36m-improve-roads-trails,https://www.fs.usda.gov/restoration/Legacy_Roads_and_Trails/index.shtml,BIL,
transportation,Clean Transportation,doa,.other,Capital Improvement And Maintenance - Construction And Maintenance Of Roads For Forest Restoration Projects That Reduce Wildfire Risk,Department of Agriculture,Forest Service,"$100,000,000",,Each annual tranche has a four-year period of availability,Direct Federal Spending,No,Forest Service Funding,"This program administers an extensive transportation network that is vital to the agency’s mission to sustain the health, diversity, and productivity of national forest lands.",Construction of temporary roads or reconstruction and maintenance of roads to facilitate forest restoration and management projects that reduce wildfire risk.,,FY23 press announcement on Wildfire Crisis Strategy (https://www.usda.gov/media/press-releases/2023/01/19/biden-harris-administration-launches-new-efforts-address-wildfire),https://www.fs.usda.gov/managing-land/fire/grants,BIL,
transportation,Clean Transportation,doa,.other,Capital Improvement and Maintenance for Dams,Department of Agriculture,Forest Service,"$10,000,000",,Each annual tranche has a 4-yr period of availability,Direct Federal Spending,No,Forest Service Funding,"This program administers an extensive transportation network that is vital to the agency’s mission to sustain the health, diversity, and productivity of national forest lands",Dams on National Forest System lands in need of maintenance,,"FY23 allocations to regions. FY24, 25, and 26 projects will be planned from Regional requests and are being proposed.",https://www.fs.usda.gov/sites/default/files/2019-11/final_report_sent_to_hill_ccip.pdf,BIL,
pollution,Remediation and reduction of legacy pollution,doa,".stateGov, .ed, .research",Bioproduct Pilot Program,Department of Agriculture,Office of the Secretary,"$10,000,000",,Available until expended - $5 million in 2022 and $5 million in 2023,Grants - Non-Federal,Yes,Bioproduct research facilities that: a) is funded in part by a State; b) is located within 3 miles from residence halls of an institution of higher education; c) provides opportunities for student involvement in research; d) collaborates with an institution of higher education.,"Determine the economic, social, and environmental benefits of using materials derived from agricultural commodities (bioproducts) in the development and manufacturing of construction or consumer products.",Bioproduct research facilities that: a) is funded in part by a State; b) is located within 3 miles from residence halls of an institution of higher education; c) provides opportunities for student involvement in research; d) collaborates with an institution of higher education.,,Only Round of Funding Allocated / Selections Announced in December 2022,http://www.nifa.usda.gov/grants/programs/bioproduct-pilot-program,BIL,
workforce,Training and workforce development,doa,".stateGov, .tribal",Temporary Water Crossing Structures,Department of Agriculture,Forest Service,"$50,000,000",,Each annual $10 million tranche has a 4 year period of availability,Grant,Yes,"States, Tribes",Under development,Under development,,First Round of Funding Allocated / Selections Announced in August 2023,https://www.fs.usda.gov/news/releases/usda-forest-service-announces-205-million-grants-protect-water-increase-wood,BIL,
climate,Climate Change,doa,.other,"Develop And Publish Every 5 Years A Map Depicting At-Risk Communities, Including Tribal Communities",Department of Agriculture,Forest Service,"$1,200,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"The Forest Service will develop and publish every five years a map depicting at-risk communities, including Tribal communities.",,,Complete. Map is published at: https://wildfirerisk.org,https://www.fs.usda.gov/news/releases/usda-announces-new-round-of-investments-in-wildfire-protection-cwdg,BIL,
climate,Climate Change,doa,.other,Post-Fire Restoration,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,The Burned Area Recovery program will provide restoration activities on wildfire affected areas within three years after the date that a wildland fire is contained.,Areas on National Forest System lands severely burned by wildland fire.,,FY23 allocations to regions and internal projects selected.,https://www.fs.usda.gov/managing-land/fire/grants,BIL,
climate,Climate Change,doa,.other,Preplanning Fire Response Workshops And Workforce Training,Department of Agriculture,Forest Service,"$50,000,000",,Available until expended,Direct Federal Spending,Yes,Forest Service Funding,"The Forest Service will conduct pre-planning fire response workshops that develop Potential Operational Delineations and select potential control locations and workforce training for staff, non-Federal firefighters, and Native village fire crews.",To conduct workshops and develop potential operational delineations,,"At a May 4 event in Durango, CO, the Secretary announced $63 million to establish fuelbreaks and potential operational delineations, referred to as PODs, in the West as part of the Wildfire Crisis Strategy implementation. The areas identified are outside of the Wildfire Crisis Strategy selected landscapes in Northern Region 1, Rocky Mountain Region 2 and Pacific Northwest Region 6. The fuelbreaks and Potential Operational Delineations improve opportunities for fire containment, prescribed fire, firefighter safety and mosaic of vegetation across the landscape. This work also will support local industry and rural economies.",https://www.fs.usda.gov/inside-fs/delivering-mission/sustain/pre-planning-fire-response-pod-workshops,BIL,
water,Critical clean water and wastewater infrastructure,doa,.other,Southwest Ecological Restoration Institute,Department of Agriculture,Forest Service,"$20,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"Southwest Ecological Restoration Institute will compile and display data for fuels treatments and wildfire, to facilitate coordination and use of existing and future interagency fuel treatment data, and to carry out other related activities of a Southwest Ecological Restoration Institute.",Grant to Southwest Ecological Restoration Institute,,Complete. SWERI Agreement is finalized.,https://www.fs.usda.gov/detail/r3/workingtogether/grants/?cid=stelprdb5203050,BIL,
pollution,Remediation and reduction of legacy pollution,doa,.other,Wildfire Detection And Monitoring Equipment,Department of Agriculture,Forest Service,"$5,000,000",,Available until expended,Direct Federal Spending,Yes,Forest Service Funding,"The agency will procure and place wildfire detection and real-time monitoring equipment, such as sensors, cameras, and other relevant equipment in wildfire prone areas to enhance safety and awareness of wildfire risk for the public and first responders.",Under development,,Integration with Dingell Act work.,https://www.fs.usda.gov/news/releases/usda-announces-new-round-of-investments-in-wildfire-protection-cwdg,BIL,
climate,Climate Change,doa,.ed,Research And Development Via Joint Fire Science Program Partnership With Department Of Interior,Department of Agriculture,Forest Service,"$10,000,000",,Each annual $2 million tranche has a five-year period of availability,"Grant, facilitated through interagency agreement with the Department of Interior (Bureau of Land Management).",No,Institutions Of Higher Education,"The Joint Fire Science Program funds scientific research on wildland fires and distributes results to help policymakers, fire managers and practitioners make decisions.",Uses are determined by the Department of the Interior.,,To be determined,http://www.doi.gov/wildlandfire/joint-fire-science-program,BIL,
water,Critical clean water and wastewater infrastructure,doa,.other,Burned Area Recovery,Department of Agriculture,Forest Service,"$225,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"The Forest Service Burned Area Rehabilitation program addresses threats to fish, wildlife and people downstream, that some fires create.",Projects that provide emergency response to wildland-fire burned areas on National Forest System lands.,,FY23 allocations to regions and internal projects selected.,https://www.fs.usda.gov/naturalresources/watershed/burnedareas-background.shtml,BIL,
climate,Climate Change,doa,.other,Collaborative Forest Landscape Restoration Program,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"The Collaborative Forest Landscape Restoration Program uses collaborative, science-based approaches to enhance forest and watershed health, reduce risk from uncharacteristic wildfire, and provide benefits to rural economies.","With its focused investment on priority landscapes, partner capacity, and community support, Collaborative Forest Landscape Restoration Program projects are expanding the pace and scale of treatments that reduce the risk of widespread, high-mortality fires.",,Project recommendations from the FACA submitted and selection anticipated in June 2023.,https://sam.gov/fal/18afc9d17aae448c83f9880af164f70b/view,BIL,
pollution,Remediation and reduction of legacy pollution,doa,.other,Ecological Health Restoration Contracts,Department of Agriculture,Forest Service,"$150,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"This program is responsible for issuing contracts for management of programs with authority to dispose of National Forest System timber and non-timber forest products harvested for commercial, personal, and Tribal uses.","Focus areas include sale preparation, contract administration, purchaser suspension and debarment, special forest products, and related authorities and programs.",,To be determined,https://www.fs.usda.gov/working-with-us/grants,BIL,
pollution,Remediation and reduction of legacy pollution,doa,".stateGov, .tribal",Financial Assistance To Facilities That Purchase And Process Byproducts For Ecosystem Restoration Projects,Department of Agriculture,Forest Service,"$400,000,000",,Available until expended,Grant,No,"States, Tribes","This program is responsible for management of programs with authority to dispose of National Forest System timber and non-timber forest products harvested for commercial, personal, and Tribal uses.","Focus areas include sale preparation, contract administration, purchaser suspension and debarment, special forest products, and related authorities and programs.",,NOFO Open in October 2023,https://www.rd.usda.gov/programs-services/water-environmental-programs/water-waste-disposal-loan-grant-program,BIL,
climate,Climate Change,doa,.other,Hazardous Fuels (Mechanical Thinning And Timber Harvesting; Precommercial Thinning In Young Growth),Department of Agriculture,Forest Service,"$400,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,The Hazardous Fuels program prioritizes treating areas with high potential for damaging wildfires within the wildland-urban interface using a scenario planning tool to identify areas where there is high and very high wildfire hazard potential adjacent to communities. Working with community partners across boundaries allows the agency to leverage resources and work efficiently to reduce wildfire risk while creating resilient landscapes and encouraging fire-adapted communities.,Projects that mitigate wildfire risk on hazardous fuels in high priority and high-risk areas around the Nation.,,FY23 press announcement on Wildfire Crisis Strategy (https://www.usda.gov/media/press-releases/2023/01/19/biden-harris-administration-launches-new-efforts-address-wildfire). https://experience.arcgis.com/experience/a23d2e0cb7834d75bd5f830ae51720d9/,https://www.fs.usda.gov/sites/default/files/IIJA-Spend-Plan-all-2-11-2022.pdf,BIL,
climate,Climate Change,doa,.other,Hazardous Fuels Management,Department of Agriculture,Forest Service,"$514,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,The Hazardous Fuels program prioritizes treating areas with high potential for damaging wildfires within the wildland-urban interface using a scenario planning tool to identify areas where there is high and very high wildfire hazard potential adjacent to communities. Working with community partners across boundaries allows the agency to leverage resources and work efficiently to reduce wildfire risk while creating resilient landscapes and encouraging fire-adapted communities.,Projects that mitigate wildfire risk on hazardous fuels in high priority and high-risk areas around the Nation.,,"Hazardous Fuels accomplishments surpassed 1.79 million acres, or 45% of the national target.",https://www.fs.usda.gov/managing-land/fire/grants,BIL,
pollution,Remediation and reduction of legacy pollution,doa,.other,Removal Of Vegetation For Biochar And Innovative Wood Products,Department of Agriculture,Forest Service,"$100,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"This program, through contracting or employing crews of laborers, supports the modification and removal of flammable vegetation on Federal land and for using materials from treatments, to the extent practicable, to produce biochar and other innovative products, including through the use of locally based organizations that engage young adults, Native youth, and veterans in service projects, such as youth and conservation corps.",To be determined.,,NOFO Open,https://www.fs.usda.gov/science-technology/energy-forest-products/wood-innovation,BIL,
pollution,Remediation and reduction of legacy pollution,doa,".stateGov, .tribal",Restoration Projects Via States And Tribes,Department of Agriculture,Forest Service,"$160,000,000",,Available until expended,Grant,No,"States, Tribes","This program is responsible for management of programs with authority to dispose of National Forest System timber and non-timber forest products harvested for commercial, personal, and Tribal uses.","Focus areas include sale preparation, contract administration, purchaser suspension and debarment, special forest products, and related authorities and programs.",,Partnering with the National Fish and Wildlife Foundation,https://www.fs.usda.gov/managing-land/private-land/landscape-scale-restoration,BIL,
climate,Climate Change,doa,.other,Revegetation Effort to Implement National Seed Strategy,Department of Agriculture,Forest Service,"$70,000,000",,Available until expended,Direct Federal Spending,No,Forest Service Funding,"The National Seed Strategy, developed in partnership with the Plant Conservation Alliance and the U.S. Department of Agriculture, guides ecological restoration across major landscapes, especially those lands damaged by rangeland fires, invasive species, severe storms, and drought.",Revegetation of disrupted areas on National Forest System lands.,,"Several native plant partnerships have been developed in the Northern Region to implement the National Seed Strategy, including the development of a Montana Native Seed Network. Three Forests are using government-furnished native seed for erosion control in timber sales and stewardship contracts.  The Idaho Panhandle is using native plants produced by the Coeur d’Alene Nursery to develop pollinator islands, following the guidance of Rocky Mountain Research Station in selecting native plants important to pollinators. The Forest Service and North Dakota State University are jointly participating in a native plant materials project to assist with reclamation efforts in Western North Dakota including the Little Missouri National Grasslands.  The Bitterroot National Forest has established an agreement with the Montana Conservation Corp (MCC) which includes native plant collection, planting, seeding, monitoring, and documentation.",https://www.usda.gov/media/blog/2017/03/13/usda-supporting-national-native-seed-strategy,BIL,
