agency,program
Army Corps of Engineers,Aquatic Ecosystem Restoration Construction 
Army Corps of Engineers,Aquatic Ecosystem Restoration Investigations 
Army Corps of Engineers,Flood and Storm Damage Reduction Program Construction 
Army Corps of Engineers,Flood and Storm Damage Reduction Program Investigations 
Army Corps of Engineers,Continuing Authorities Program 
Army Corps of Engineers,Floodplain Management Services 
Army Corps of Engineers,Planning Assistance to States 
Army Corps of Engineers,Tribal Partnership Program Section 203 of WRDA 2000 as amended 
Army Corps of Engineers,Pilot Programs on the Formulation of Corps of Engineers Projects in Rural Communities and Economically Disadvantaged Communities Section 118 of WRDA 2020 
Army Corps of Engineers,Pilot Program for Continuing Authority Projects in Small or Disadvantaged Communities Section 165 of WRDA 2020 
Army Corps of Engineers,Formerly Utilized Sites Remedial Action Program FUSRAP 
Corporation for National and Community Service (AmeriCorps),AmeriCorps NCCC 
Corporation for National and Community Service (AmeriCorps),AmeriCorps Seniors RSVP 
Corporation for National and Community Service (AmeriCorps),AmeriCorps State and National formula grants 
Corporation for National and Community Service (AmeriCorps),AmeriCorps State and National competitive grants 
Corporation for National and Community Service (AmeriCorps),AmeriCorps VISTA 
Department of Agriculture,ARS 1890 Faculty Research Program Denotes programs that received funding from the Bipartisan Infrastructure Law P L 117 
Department of Agriculture, Water Resources Development Act of 2000 P L 106 541 Water Resources Development Act of 2020 P L 116 260 The Army Corps administers FUSRAP in consultation with the Department of Energy Office of Legacy Management 
Department of Agriculture,ARS Outreach Activities Associated with Underserved Underrepresented Populations 
Department of Agriculture,Clean Energy 
Department of Agriculture,Climate Change Farm Service Agency FSA 
Department of Agriculture,Agriculture Risk Coverage Program 
Department of Agriculture,Conservation Reserve Enhancement Program 
Department of Agriculture,Conservation Reserve Program 
Department of Agriculture,Dairy Margin Coverage 
Department of Agriculture,Direct Farm Operating Loans 
Department of Agriculture,Farm Storage Facility Loan 
Department of Agriculture,Food Production and Conservation Business Center Hazardous Waste Cleanup Program 
Department of Agriculture,FSA County Committees Urban Agriculture Pilot Locations 
Department of Agriculture,Grassland Conservation Reserve Program 
Department of Agriculture,Guaranteed Conservation Loans 
Department of Agriculture,Organic Certification Cost Share Program 
Department of Agriculture,Price Loss Coverage 
Department of Agriculture,Transition Incentives Program Forest Service 
Department of Agriculture,Abandoned Hard Rock Mine and Orphaned Oil and Gas Well Reclamation 
Department of Agriculture,Climate related Training 
Department of Agriculture,Collaborative Forest Landscape Restoration Program 
Department of Agriculture,Ecological Health Restoration Contracts 
Department of Agriculture,Financial Assistance to Facilities That Purchase and Process Byproducts for Ecosystem Restoration Projects 
Department of Agriculture,Hazardous Fuels Management 
Department of Agriculture,Joint Chiefs Landscape Restoration Partnership 
Department of Agriculture,Land and Water Conservation Fund 
Department of Agriculture,Landscape Scale Restoration Water Quality and Fish Passage 
Department of Agriculture,Recreation Sites 
Department of Agriculture,Reducing Wildfire Risk to Tribes Underserved and Socially Vulnerable Communities 
Department of Agriculture,Restoration Projects Via States and Tribes 
Department of Agriculture,Restore Native Vegetation on Federal Non Federal Land 
Department of Agriculture,Revegetation Effort to Implement National Seed Strategy 
Department of Agriculture,Tribal Authorities 
Department of Agriculture,Urban and Community Forestry Program National Institute of Food and Agriculture NIFA 
Department of Agriculture,Bioproduct Research Program 
Department of Agriculture,NIFA Workforce Development Climate Research and Extension Programs Benefitting Underserved Communities These programs and funding line items are listed as covered under the Justice40 Initiative because of the inclusion criteria set In practice these items fund a broad array of different activities and therefore will likely not be subject to the development of a comprehensive benefits methodology or reporting USDA NIFA has identified 14 programs that support workforce development research and extension in Justice40 priority areas The 14 programs specifically benefit underserved communities e g funding specifically for 1890 Institutions 1994 5Natural Resources Conservation Service NRCS 
Department of Agriculture,Agricultural Conservation Easement Program 
Department of Agriculture,Agricultural Management Assistance 
Department of Agriculture,Conservation Operations Conservation Technical Assistance CTA 
Department of Agriculture,Conservation Stewardship Program 
Department of Agriculture,Environmental Quality Incentives Program 
Department of Agriculture,Healthy Forest Reserve Program 
Department of Agriculture,Joint Chiefs Landscape Restoration Partnership JCLRP 
Department of Agriculture,Regional Conservation Partnership Program 
Department of Agriculture,Urban Agriculture and Innovative Production 
Department of Agriculture,Watershed and Flood Prevention Operations 
Department of Agriculture,Watershed Rehabilitation Program Risk Management Agency RMA 
Department of Agriculture,Agricultural Management Assistance AMA 
Department of Agriculture,Risk Management Education RME Partnership Program Rural Business Cooperative Service RBCS 
Department of Agriculture,Rural Energy for America Grant program 
Department of Agriculture,Rural Energy for America Loan program Rural Housing Service RHS 
Department of Agriculture,Community Facilities Direct Loans 
Department of Agriculture,Community Facilities Grants 
Department of Agriculture,Loan Guarantee and Multi Family Programs for Underserved Communities 
Department of Agriculture,Multi family Housing Section 521 Rental Assistance 
Department of Agriculture,Mutual and Self Help Housing Grants 
Department of Agriculture,Single Family Housing Direct Loans Rural Utilities Service RUS 
Department of Agriculture,Distributed Generation Energy Project Financing 
Department of Agriculture,Electric Infrastructure Program 
Department of Agriculture,Energy Efficiency and Conservation Loan Program Native American Tribal Serving Colleges and Universities Hispanic Serving Institutions etc To ensure that applicants and grantees of these programs are not burdened with additional administrative work or new reporting requirements USDA will complete any administrative requirements associated with these programs being included in Justice40 at Headquarters For these programs at this time there will be no change to Requests for Funding Applications or grantee application or reporting requirements Agricultural Management Assistance AMA and Risk Management Education RME are functions under the broader crop insurance program and best suited to be included as Justice40 covered programs Because the parameters of crop insurance are set by Congress and USDA does not retain discretion regarding which applicants receive benefits under crop insurance USDA looks forward to engaging with Congress and crop insurance stakeholders to ensure the Federal Crop Insurance Program and crop insurance products offered provide underserved producers with the risk management tools they need to thrive and thus better align with the Jusice40 initiative Rural development administers several loan guarantee and housing programs multifamily community facilities etc where the program is specially designed to benefit underserved communities and thus USDA plans to report on those programs under the Justice40 framework while ensuring that program applicants and beneficiaries will not be subject to any program changes or additional reporting requirements 
Department of Agriculture,Energy Resource Conservation Program 
Department of Agriculture,High Energy Cost Grant 
Department of Agriculture,Rural Energy Savings Program 
Department of Agriculture,Water and Waste Direct Loan 
Department of Agriculture,Water and Waste Grant Departmentwide 
Department of Agriculture,USDA Climate Hubs 
Department of Commerce,National Integrated Heat Health Information System NIHHIS Extreme Heat Risk Initiative Urban Climate Science for Decision making and Evaluation of Heat Health Interventions 
Department of Commerce,National Integrated Heat Health Information System NIHHIS Urban Heat Island Mapping 
Department of Commerce,Regional Integrated Sciences and Assessments 
Department of Commerce,Habitat Restoration 
Department of Commerce,Fish Passage 
Department of Commerce,Sea Grant 
Department of Commerce,Coastal Zone Management Grants Economic Development Administration EDA 
Department of Commerce,Assistance to Energy Transition Communities National Institute of Standards and Technology NIST 
Department of Commerce,Community Resilience Program 
Department of Energy,USDA Climate Hubs Department of Commerce The Department of Commerce has 9 covered programs Covered programs list for DOC National Oceanic and Atmospheric Administration NOAA 
Department of Energy,Community Resilience Program Department of Energy The Department of Energy has 146 covered programs Covered programs list for DOE Advanced Research Projects Agency Energy ARPA E 
